season,min_minutes,model_type,model_name,RMSE,R2
2011,10,no_dummy,10_no_dummy,12.02258,0.13286333
2011,15,no_dummy,15_no_dummy,12.03132,0.13160246
2011,20,no_dummy,20_no_dummy,12.06674,0.12648128
2011,25,no_dummy,25_no_dummy,12.12717,0.11771046
2011,30,no_dummy,30_no_dummy,12.32960,0.08801037
2012,0,no_dummy,0_no_dummy,13.22785,0.05519940
2012,5,no_dummy,5_no_dummy,13.20692,0.05818763
2012,10,no_dummy,10_no_dummy,13.18979,0.06062943
2012,15,no_dummy,15_no_dummy,12.97743,0.09063357
2012,20,no_dummy,20_no_dummy,13.00894,0.08621230
2012,25,no_dummy,25_no_dummy,13.18510,0.06129634
2012,30,no_dummy,30_no_dummy,13.18321,0.06156618
2013,0,no_dummy,0_no_dummy,13.02831,0.10965480
2013,5,no_dummy,5_no_dummy,12.67372,0.15746051
2013,10,no_dummy,10_no_dummy,12.70018,0.15393840
2013,15,no_dummy,15_no_dummy,12.76605,0.14513965
2013,20,no_dummy,20_no_dummy,12.76418,0.14539066
2013,25,no_dummy,25_no_dummy,12.92309,0.12397819
2013,30,no_dummy,30_no_dummy,13.00125,0.11334950
2014,0,no_dummy,0_no_dummy,12.45472,0.11005118
2014,5,no_dummy,5_no_dummy,12.45141,0.11052413
2014,10,no_dummy,10_no_dummy,12.49442,0.10436943
2014,15,no_dummy,15_no_dummy,12.48469,0.10576334
2014,20,no_dummy,20_no_dummy,12.27424,0.13565644
2014,25,no_dummy,25_no_dummy,12.45264,0.11034848
2014,30,no_dummy,30_no_dummy,12.46057,0.10921524
2005,0,dummy,0_dummy,12.39136,0.07471632
2005,5,dummy,5_dummy,12.29197,0.08949993
2005,10,dummy,10_dummy,12.44905,0.06608090
2005,15,dummy,15_dummy,12.51109,0.05674827
2005,20,dummy,20_dummy,12.46529,0.06364205
2005,25,dummy,25_dummy,12.48172,0.06117188
2005,30,dummy,30_dummy,12.52069,0.05530114
2006,0,dummy,0_dummy,11.43307,0.09436899
2006,5,dummy,5_dummy,11.43767,0.09364008
2006,10,dummy,10_dummy,11.35801,0.10622143
2006,15,dummy,15_dummy,11.40679,0.09852840
2006,20,dummy,20_dummy,11.39602,0.10022925
2006,25,dummy,25_dummy,11.41736,0.09685644
2006,30,dummy,30_dummy,11.35667,0.10643232
2007,0,dummy,0_dummy,13.47857,0.05919000
2007,5,dummy,5_dummy,13.37350,0.07379974
