"season","min_minutes","dummy_penalty_ratio","n_players_inner","n_players_outer","inner_dummy_lambda","inner_no_dummy_lambda","inner_dummy_RMSE","inner_dummy_R2","inner_no_dummy_RMSE","inner_no_dummy_R2","neutral_inner_RMSE","outer_dummy_lambda","outer_no_dummy_lambda","outer_dummy_RMSE","outer_dummy_R2","outer_no_dummy_RMSE","outer_no_dummy_R2"
2016,20,0,237,253,6.05394383287542,6.95538213175222,12.3553543186366,0.130336367809067,11.9049223564388,0.192590165479044,12.1301383375377,4.27581603310993,4.89150235698789,12.7601863758862,0.12505387774326,12.366099988711,0.17826311258261
2016,20,0.1,237,253,6.20688153635856,6.95538213175222,12.2165552550041,0.149766078995942,11.9049223564388,0.192590165479044,12.0607388057215,4.47499518361188,4.89150235698789,12.6019459149219,0.146619926270223,12.366099988711,0.17826311258261
2016,20,0.25,237,253,6.33435519697837,6.95538213175222,12.1180205708433,0.163426176827769,11.9049223564388,0.192590165479044,12.011471463641,4.5650985295274,4.89150235698789,12.5227073985767,0.157317953235399,12.366099988711,0.17826311258261
2016,20,0.5,237,253,6.73619403481693,6.95538213175222,12.0401852625656,0.17413846451376,11.9049223564388,0.192590165479044,11.9725538095022,4.85155863453278,4.89150235698789,12.4628754633548,0.165351176000037,12.366099988711,0.17826311258261
2016,20,1,237,253,6.59317286984736,6.95538213175222,11.9796251941438,0.18242545487189,11.9049223564388,0.192590165479044,11.9422737752913,4.89150235698789,4.89150235698789,12.4143467700502,0.17183853241308,12.366099988711,0.17826311258261
2016,20,2,237,253,7.23697655004178,6.95538213175222,11.9350726135928,0.188495314697875,11.9049223564388,0.192590165479044,11.9199974850158,5.0774910397631,4.89150235698789,12.3844644880389,0.175820629996741,12.366099988711,0.17826311258261
2016,25,0,150,152,5.29349492998136,5.77448043885192,11.8957290479644,0.193836692154179,11.9609369429244,0.184974302698023,11.9283329954444,3.10044930329526,3.07200603903031,12.4338230121748,0.169237972606219,12.4837016772702,0.162559348597483
2016,25,0.1,150,152,5.26950544615419,5.77448043885192,11.8796199652264,0.196018611100392,11.9609369429244,0.184974302698023,11.9202784540754,3.19850574540774,3.07200603903031,12.442439336096,0.168086179643042,12.4837016772702,0.162559348597483
2016,25,0.25,150,152,5.39713336123609,5.77448043885192,11.8758190005788,0.196533007346539,11.9609369429244,0.184974302698023,11.9183779717516,3.27555264222987,3.07200603903031,12.4516766277835,0.166850492178171,12.4837016772702,0.162559348597483
2016,25,0.5,150,152,5.77334261962374,5.77448043885192,11.8792525818676,0.196068337407586,11.9609369429244,0.184974302698023,11.920094762396,3.50314472542046,3.07200603903031,12.461228673789,0.165571735078701,12.4837016772702,0.162559348597483
2016,25,1,150,152,5.77448043885192,5.77448043885192,11.8859295305427,0.195164354779071,11.9609369429244,0.184974302698023,11.9234332367335,3.37152283542298,3.07200603903031,12.4607173585474,0.165640211012763,12.4837016772702,0.162559348597483
