"season","min_minutes","side","excluded_players","n_stints","possession_exposure"
2010,15,"Away",2,430,1638
2010,15,"Away",3,74,269
2010,15,"Away",4,5,37.5
2010,15,"Away",5,0,0
2010,20,"Home",0,7636,35601
2010,20,"Home",1,7960,33226.5
2010,20,"Home",2,3026,11747.5
2010,20,"Home",3,823,3041
2010,20,"Home",4,119,470
2010,20,"Home",5,7,38.5
2010,20,"Away",0,7320,33859.5
2010,20,"Away",1,8357,34780.5
2010,20,"Away",2,2937,11750.5
2010,20,"Away",3,831,3247
2010,20,"Away",4,118,454.5
2010,20,"Away",5,8,32.5
2010,25,"Home",0,1953,9887
2010,25,"Home",1,5304,23351.5
2010,25,"Home",2,6876,29286
2010,25,"Home",3,4058,16100
2010,25,"Home",4,1184,4778.5
2010,25,"Home",5,196,721.5
2010,25,"Away",0,1633,8319
2010,25,"Away",1,5492,24510
2010,25,"Away",2,6904,29272
2010,25,"Away",3,4108,16159.5
2010,25,"Away",4,1225,5050.5
2010,25,"Away",5,209,813.5
2010,30,"Home",0,5,31.5
2010,30,"Home",1,1006,5157.5
2010,30,"Home",2,3460,16433
2010,30,"Home",3,5770,24029
2010,30,"Home",4,6720,28236.5
2010,30,"Home",5,2610,10237
2010,30,"Away",0,5,29.5
2010,30,"Away",1,951,4993
2010,30,"Away",2,3420,15922
2010,30,"Away",3,5523,23738.5
2010,30,"Away",4,6668,27834
2010,30,"Away",5,3004,11607.5
2011,0,"Home",0,20163,84325.5
2011,0,"Home",1,0,0
2011,0,"Home",2,0,0
2011,0,"Home",3,0,0
2011,0,"Home",4,0,0
2011,0,"Home",5,0,0
2011,0,"Away",0,20163,84325.5
2011,0,"Away",1,0,0
2011,0,"Away",2,0,0
2011,0,"Away",3,0,0
2011,0,"Away",4,0,0
2011,0,"Away",5,0,0
2011,5,"Home",0,20105,84112
2011,5,"Home",1,58,213.5
2011,5,"Home",2,0,0
2011,5,"Home",3,0,0
2011,5,"Home",4,0,0
2011,5,"Home",5,0,0
2011,5,"Away",0,20107,84139
2011,5,"Away",1,56,186.5
2011,5,"Away",2,0,0
2011,5,"Away",3,0,0
2011,5,"Away",4,0,0
2011,5,"Away",5,0,0
2011,10,"Home",0,19756,82822.5
2011,10,"Home",1,388,1444
2011,10,"Home",2,19,59
2011,10,"Home",3,0,0
2011,10,"Home",4,0,0
2011,10,"Home",5,0,0
2011,10,"Away",0,19624,82341.5
2011,10,"Away",1,515,1914.5
2011,10,"Away",2,24,69.5
2011,10,"Away",3,0,0
2011,10,"Away",4,0,0
2011,10,"Away",5,0,0
2011,15,"Home",0,15149,64496.5
2011,15,"Home",1,4401,17382.5
2011,15,"Home",2,540,2192
2011,15,"Home",3,71,243.5
2011,15,"Home",4,2,11
2011,15,"Home",5,0,0
2011,15,"Away",0,14954,64301
2011,15,"Away",1,4557,17518.5
2011,15,"Away",2,558,2111.5
2011,15,"Away",3,84,341
2011,15,"Away",4,10,53.5
2011,15,"Away",5,0,0
2011,20,"Home",0,7598,33733
2011,20,"Home",1,8138,33721.5
2011,20,"Home",2,3451,13337
2011,20,"Home",3,815,3019.5
2011,20,"Home",4,159,507
2011,20,"Home",5,2,7.5
2011,20,"Away",0,7398,32473.5
2011,20,"Away",1,8245,34113.5
2011,20,"Away",2,3314,12857
2011,20,"Away",3,1006,4133.5
2011,20,"Away",4,188,705.5
2011,20,"Away",5,12,42.5
2011,25,"Home",0,1123,5304.5
2011,25,"Home",1,5862,26520.5
2011,25,"Home",2,7469,29900.5
2011,25,"Home",3,4335,17149
2011,25,"Home",4,1224,4916.5
2011,25,"Home",5,150,534.5
2011,25,"Away",0,1129,5271.5
2011,25,"Away",1,5430,24425.5
2011,25,"Away",2,7378,29832
2011,25,"Away",3,4639,18576
2011,25,"Away",4,1386,5404.5
2011,25,"Away",5,201,816
2011,30,"Home",0,0,0
2011,30,"Home",1,635,3455.5
2011,30,"Home",2,2780,12718.5
2011,30,"Home",3,7058,29541.5
2011,30,"Home",4,7587,30230.5
2011,30,"Home",5,2103,8379.5
2011,30,"Away",0,0,0
2011,30,"Away",1,499,2490
2011,30,"Away",2,3017,13736
