"season","min_minutes","model","dummy_penalty_ratio","term","coefficient","term_type","player_id"
2007,10,"dummy",2.2,"player__2450",-0.228819093816494,"player","2450"
2007,10,"dummy",2.2,"player__2456",-0.774948335142831,"player","2456"
2007,10,"dummy",2.2,"player__246",0.169819404002712,"player","246"
2007,10,"dummy",2.2,"player__2477",-0.687746496103876,"player","2477"
2007,10,"dummy",2.2,"player__248",1.35273288731897,"player","248"
2007,10,"dummy",2.2,"player__25",0.571542315797769,"player","25"
2007,10,"dummy",2.2,"player__250",1.44581998683592,"player","250"
2007,10,"dummy",2.2,"player__2506",-1.27775515360075,"player","2506"
2007,10,"dummy",2.2,"player__2509",0.138939687088977,"player","2509"
2007,10,"dummy",2.2,"player__2510",-0.363940127239051,"player","2510"
2007,10,"dummy",2.2,"player__2522",-1.33249075842197,"player","2522"
2007,10,"dummy",2.2,"player__254",-1.07798268545866,"player","254"
2007,10,"dummy",2.2,"player__255",-0.0447680040969457,"player","255"
2007,10,"dummy",2.2,"player__26",-0.175421506023293,"player","26"
2007,10,"dummy",2.2,"player__261",1.68349082761777,"player","261"
2007,10,"dummy",2.2,"player__264",-1.00571936898515,"player","264"
2007,10,"dummy",2.2,"player__267",-0.909627022309892,"player","267"
2007,10,"dummy",2.2,"player__272",2.63814309002075,"player","272"
2007,10,"dummy",2.2,"player__273",0.96627767107257,"player","273"
2007,10,"dummy",2.2,"player__2745",-1.08326731084305,"player","2745"
2007,10,"dummy",2.2,"player__2746",-0.403766025144747,"player","2746"
2007,10,"dummy",2.2,"player__2747",0.190800408058019,"player","2747"
2007,10,"dummy",2.2,"player__2748",1.05479948493842,"player","2748"
2007,10,"dummy",2.2,"player__2749",0.220980138270076,"player","2749"
2007,10,"dummy",2.2,"player__2750",-0.665707115904834,"player","2750"
2007,10,"dummy",2.2,"player__2751",0.584683589960985,"player","2751"
2007,10,"dummy",2.2,"player__2752",0.990244423290451,"player","2752"
2007,10,"dummy",2.2,"player__2753",-1.18267556264002,"player","2753"
2007,10,"dummy",2.2,"player__2754",-2.0447209522753,"player","2754"
2007,10,"dummy",2.2,"player__2755",-0.712211742794618,"player","2755"
2007,10,"dummy",2.2,"player__2756",0.407580149698434,"player","2756"
2007,10,"dummy",2.2,"player__2757",-2.13175002057784,"player","2757"
2007,10,"dummy",2.2,"player__2759",-0.130071999575263,"player","2759"
2007,10,"dummy",2.2,"player__2760",-0.87095379858337,"player","2760"
2007,10,"dummy",2.2,"player__2761",-1.10633905469074,"player","2761"
2007,10,"dummy",2.2,"player__2762",-0.770370594786669,"player","2762"
2007,10,"dummy",2.2,"player__2763",0.851299954046936,"player","2763"
2007,10,"dummy",2.2,"player__2765",0.434376948963652,"player","2765"
2007,10,"dummy",2.2,"player__2767",0.320691857562948,"player","2767"
2007,10,"dummy",2.2,"player__2768",1.14073487296848,"player","2768"
2007,10,"dummy",2.2,"player__2770",0.353647277550258,"player","2770"
2007,10,"dummy",2.2,"player__2771",0.266730594145911,"player","2771"
2007,10,"dummy",2.2,"player__2772",2.45017127672776,"player","2772"
2007,10,"dummy",2.2,"player__2775",1.28816447623213,"player","2775"
2007,10,"dummy",2.2,"player__2776",0.309972930827883,"player","2776"
2007,10,"dummy",2.2,"player__2777",-0.010606657529753,"player","2777"
2007,10,"dummy",2.2,"player__2778",0.0820626396589955,"player","2778"
2007,10,"dummy",2.2,"player__2779",-0.229326951462712,"player","2779"
2007,10,"dummy",2.2,"player__2780",-1.17983599437851,"player","2780"
2007,10,"dummy",2.2,"player__2781",-0.420131247988068,"player","2781"
2007,10,"dummy",2.2,"player__2782",0.990699367461745,"player","2782"
2007,10,"dummy",2.2,"player__2784",-0.097017483945135,"player","2784"
2007,10,"dummy",2.2,"player__2786",-1.07700381653201,"player","2786"
2007,10,"dummy",2.2,"player__2788",-0.463778287472787,"player","2788"
2007,10,"dummy",2.2,"player__2789",0.962561384412526,"player","2789"
2007,10,"dummy",2.2,"player__2792",-1.22951577422322,"player","2792"
2007,10,"dummy",2.2,"player__2793",-0.208718534670243,"player","2793"
2007,10,"dummy",2.2,"player__2794",-2.54337602820217,"player","2794"
2007,10,"dummy",2.2,"player__2795",0.353901694094586,"player","2795"
2007,10,"dummy",2.2,"player__2797",-1.75140166317632,"player","2797"
2007,10,"dummy",2.2,"player__2798",0.45326173853007,"player","2798"
2007,10,"dummy",2.2,"player__2800",0.540732047087063,"player","2800"
2007,10,"dummy",2.2,"player__2801",-2.34575129577074,"player","2801"
2007,10,"dummy",2.2,"player__2805",2.15759478757107,"player","2805"
2007,10,"dummy",2.2,"player__2806",1.17912496211051,"player","2806"
2007,10,"dummy",2.2,"player__2807",-1.30897548955614,"player","2807"
2007,10,"dummy",2.2,"player__2809",-0.840839467422372,"player","2809"
2007,10,"dummy",2.2,"player__2810",0.532801697648769,"player","2810"
2007,10,"dummy",2.2,"player__2813",0.293138701409385,"player","2813"
2007,10,"dummy",2.2,"player__2815",-1.01361289145449,"player","2815"
2007,10,"dummy",2.2,"player__2817",-0.575801750471786,"player","2817"
2007,10,"dummy",2.2,"player__2821",-2.62246366616805,"player","2821"
2007,10,"dummy",2.2,"player__2824",0.0390859091514384,"player","2824"
2007,10,"dummy",2.2,"player__2832",-1.44075751278501,"player","2832"
2007,10,"dummy",2.2,"player__2834",2.15017148372262,"player","2834"
2007,10,"dummy",2.2,"player__285",0.84463253396157,"player","285"
2007,10,"dummy",2.2,"player__2866",0.00663818873944947,"player","2866"
2007,10,"dummy",2.2,"player__2873",-0.880626116347228,"player","2873"
2007,10,"dummy",2.2,"player__294",1.67285541181898,"player","294"
2007,10,"dummy",2.2,"player__2981",0.275791889657517,"player","2981"
2007,10,"dummy",2.2,"player__2982",-0.121462138728223,"player","2982"
